RANK,TITLE,WORLDWIDE_LIFETIME_GROSS,DOMESTIC_LIFETIME_GROSS,DOMESTIC_PERCENTAGE,FOREIGN_LIFETIME_GROSS,FOREIGN_PERCENTAGE,YEAR,MPAA
301,The Mummy,415933406,155385488,0.374,260547918,0.626,1999,PG-13
302,The Chronicles of Narnia: The Voyage of the Dawn Treader,415686217,104386950,0.251,311299267,0.7490000000000001,2010,PG
303,Jason Bourne,415484914,162434410,0.391,253050504,0.609,2016,PG-13
304,The Wolverine,414828246,132556852,0.32,282271394,0.68,2013,PG-13
305,Kingsman: The Secret Service,414351546,128261724,0.31,286089822,0.69,2015,R
306,Night at the Museum: Battle of the Smithsonian,413106170,177243721,0.429,235862449,0.5710000000000001,2009,PG
307,Batman,411569241,251409241,0.611,160160000,0.389,1989,
308,The Bodyguard,411046449,122046449,0.297,289000000,0.703,1992,R
309,Pacific Rim,411002906,101802906,0.248,309200000,0.752,2013,PG-13
310,Kingsman: The Golden Circle,410902662,100234838,0.244,310667824,0.7559999999999999,2017,R
311,The Mummy,409231607,80227895,0.196,329003712,0.804,2017,PG-13
312,Ice Age 5: Collision Course,408754975,64063008,0.157,344691967,0.843,2016,PG
313,Twilight,408430415,193962473,0.475,214467942,0.525,2008,PG-13
314,Signs,408247917,227966634,0.5579999999999999,180281283,0.442,2002,PG-13
315,X2: X-Men United,407711549,214949694,0.527,192761855,0.473,2003,PG-13
316,Alita: Battle Angel,404980543,85838210,0.212,319142333,0.7879999999999999,2019,PG-13
317,The Mummy: Tomb of the Dragon Emperor,403449830,102491776,0.254,300958054,0.746,2008,PG-13
318,Prometheus,403354469,126477084,0.314,276877385,0.6859999999999999,2012,R
319,Gone with the Wind,402382193,200882193,0.499,201500000,0.501,1939,
320,Mamma Mia! Here We Go Again,402254384,120634935,0.3,281619449,0.7,2018,PG-13
321,Eternals,402064899,164870234,0.41,237194665,0.59,2021,PG-13
322,Dune,400580738,108236779,0.27,292343959,0.73,2021,PG-13
323,TRON: Legacy,400063852,172062763,0.43,228001089,0.57,2010,PG
324,Mission: Impossible III,398479497,134029801,0.336,264449696,0.664,2006,PG-13
325,Snow White and the Huntsman,396592829,155332381,0.392,241260448,0.608,2012,PG-13
326,Grease,396271103,190071103,0.48,206200000,0.52,1978,PG
327,Toy Story,394436586,223225679,0.5660000000000001,171210907,0.434,1995,
328,Solo: A Star Wars Story,392924807,213767512,0.544,179157295,0.456,2018,PG-13
329,The Wolf of Wall Street,392000694,116900694,0.298,275100000,0.7020000000000001,2013,R
330,Superman Returns,391081192,200081192,0.512,191000000,0.488,2006,PG-13
331,Robin Hood: Prince of Thieves,390493908,165493908,0.424,225000000,0.5760000000000001,1991,
332,Indiana Jones and the Raiders of the Lost Ark,389925971,248159971,0.636,141766000,0.364,1981,PG
333,Independence Day: Resurgence,389681935,103144286,0.265,286537649,0.735,2016,PG-13
334,Live Free or Die Hard,388156011,134529403,0.34700000000000003,253626608,0.653,2007,PG-13
335,Monster Hunt,387053506,32766,0.001,387020740,1.0,2015,
336,Godzilla: King of the Monsters,386600138,110500138,0.28600000000000003,276100000,0.7140000000000001,2019,PG-13
337,Home,386041607,177397510,0.46,208644097,0.54,2015,PG
338,Star Trek,385680446,257730019,0.6679999999999999,127950427,0.332,2009,PG-13
339,1917,384919389,159227644,0.414,225691745,0.586,2019,R
340,Happy Feet,384336108,198000317,0.515,186335791,0.485,2006,PG
341,Cars 3,383930656,152901115,0.39799999999999996,231029541,0.602,2017,G
342,Back to the Future,383336762,212836762,0.555,170500000,0.445,1985,
343,Ice Age,383257136,176387405,0.46,206869731,0.54,2002,PG
344,Fifty Shades Darker,381545846,114581250,0.3,266964596,0.7,2017,R
345,Monsters vs. Aliens,381509870,198351526,0.52,183158344,0.48,2009,PG
346,Black Widow,379751655,183651655,0.484,196100000,0.516,2021,PG-13
347,Godzilla,379014294,136314294,0.36,242700000,0.64,1998,PG-13
348,True Lies,378882411,146282411,0.386,232600000,0.614,1994,R
349,Slumdog Millionaire,378410542,141319928,0.374,237090614,0.626,2008,R
350,Sing 2,377386215,158716215,0.42100000000000004,218670000,0.579,2021,PG
351,Taken 2,376152455,139854287,0.37200000000000005,236298168,0.628,2012,PG-13
352,G.I. Joe: Retaliation,375740705,122523060,0.326,253217645,0.674,2013,PG-13
353,Mad Max: Fury Road,375709470,154109060,0.41,221600410,0.59,2015,R
354,Spider-Man: Into the Spider-Verse,375540831,190241310,0.507,185299521,0.493,2018,PG
355,Shark Tale,374583879,160861908,0.429,213721971,0.5710000000000001,2004,PG
356,Once Upon a Time... In Hollywood,374565754,142502728,0.38,232063026,0.62,2019,R
357,What Women Want,374111707,182811707,0.489,191300000,0.511,2000,PG-13
358,The Adventures of Tintin,373993951,77591831,0.20800000000000002,296402120,0.792,2011,PG
359,Batman Begins,373672993,206863479,0.5539999999999999,166809514,0.446,2005,PG-13
360,Penguins of Madagascar,373515621,83850911,0.22399999999999998,289664710,0.7759999999999999,2014,PG
361,X-Men Origins: Wolverine,373062864,179883157,0.48200000000000004,193179707,0.518,2009,PG-13
362,The Golden Compass,372234864,70107728,0.188,302127136,0.812,2007,PG-13
363,Fifty Shades Freed,371987838,100407760,0.27,271580078,0.73,2018,R
364,Hitch,371594210,179495555,0.483,192098655,0.517,2005,PG-13
365,Terminator Salvation,371353001,125322469,0.33799999999999997,246030532,0.662,2009,PG-13
366,Captain America: The First Avenger,370569774,176654505,0.47700000000000004,193915269,0.523,2011,PG-13
367,Edge of Tomorrow,370541256,100206256,0.27,270335000,0.73,2014,PG-13
368,There's Something About Mary,369884651,176484651,0.47700000000000004,193400000,0.523,1998,R
369,Gone Girl,369330363,167767189,0.45399999999999996,201563174,0.546,2014,R
370,The Fugitive,368875760,183875760,0.498,185000000,0.502,1993,PG-13
371,Jurassic Park III,368780809,181171875,0.491,187608934,0.509,2001,PG-13
372,My Big Fat Greek Wedding,368744044,241438208,0.655,127305836,0.345,2002,PG
373,Hello Mr. Billionaire,366961907,,,366961907,1.0,2018,
374,Die Hard with a Vengeance,366101666,100012499,0.273,266089167,0.727,1995,R
375,Shazam!,366080049,140480049,0.384,225600000,0.616,2019,PG-13
376,The Nun,365582797,117481222,0.321,248101575,0.679,2018,R
377,Alvin and the Chipmunks,365352546,217326974,0.595,148025572,0.405,2007,PG
378,Notting Hill,363889678,116089678,0.319,247800000,0.6809999999999999,1999,PG-13
379,Tenet,363704105,58504105,0.161,305200000,0.8390000000000001,2020,PG-13
380,A Bug's Life,363258859,162798565,0.44799999999999995,200460294,0.552,1998,
381,Night at the Museum: Secret of the Tomb,363204635,113746621,0.313,249458014,0.687,2014,PG
382,Ocean's Twelve,362744280,125544280,0.34600000000000003,237200000,0.654,2004,PG-13
383,Planet of the Apes,362211740,180011740,0.49700000000000005,182200000,0.503,2001,PG-13
384,The Hangover Part III,362000072,112200072,0.31,249800000,0.69,2013,R
385,The World Is Not Enough,361832400,126943684,0.35100000000000003,234888716,0.649,1999,PG-13
386,Monster Hunt 2,361682618,706153,0.002,360976465,0.998,2018,
387,Fast & Furious,360366870,155064265,0.43,205302605,0.57,2009,PG-13
388,Noah,359200044,101200044,0.282,258000000,0.718,2014,PG-13
389,The Karate Kid,359126022,176591618,0.49200000000000005,182534404,0.508,2010,PG
390,Home Alone 2: Lost in New York,358994850,173585516,0.484,185409334,0.516,1992,PG
391,Hotel Transylvania,358375603,148313048,0.414,210062555,0.586,2012,PG
392,Minority Report,358372926,132072926,0.368,226300000,0.632,2002,PG-13
393,Your Name.,358180115,5017246,0.013999999999999999,353162869,0.986,2016,PG
394,Top Gun,357288178,180258178,0.504,177030000,0.496,1986,
395,The Legend of Tarzan,356700357,126643061,0.355,230057296,0.645,2016,PG-13
396,American Beauty,356296601,130096601,0.365,226200000,0.635,1999,R
397,Spirited Away,355668961,13750644,0.039,341918317,0.961,2001,PG
398,Apollo 13,355237933,173837933,0.489,181400000,0.511,1995,PG
